Origin_Airport,temperature_C,dew_point_C,humidity_percent,precipitation_mm,wind_direction_deg,wind_speed_kmh,pressure_hPa,snow_mm,temperature_C_norm,dew_point_C_norm,humidity_percent_norm,precipitation_mm_norm,wind_direction_deg_norm,wind_speed_kmh_norm,pressure_hPa_norm,snow_mm_norm,weather_score
ABQ,13.532428030847344,-0.7931024572496047,42.5753700244288,0.027236422001344976,159.5065010725886,11.948397758298606,1014.6771520747095,0.033098625281410166,0.4939117929971114,0.07605610404286335,0.2750289288256723,0.06443317227206574,0.44888263755944996,0.3660020887246686,0.6143084465194406,0.0028125845580709414,33.35168798211481
ANC,4.876608473911338,0.20229011377010594,73.31198509219301,0.08203611669890692,149.35518830914083,10.256527069438995,1008.8834542958022,11.76804629266379,0.1086822290998513,0.12132735196718634,0.882070115250785,0.3059664824072036,0.33651899894488935,0.1743513305089531,0.0,1.0,44.51633850589884
ATL,17.784051712243716,10.817515659924391,66.95674549518475,0.14257282748949662,190.75181851930446,12.703383095560033,1018.0123495203386,0.015549546069152018,0.6831314417971097,0.6041162751156208,0.7565555725310237,0.5727860736958238,0.7947332324324221,0.45152488504749483,0.9679409692787495,0.0013213362424352136,76.77398577556963
BOI,10.22062673236834,1.0390976285802278,57.98452417616261,0.038215029130232926,157.45164767477672,10.592377579303973,1016.3186087407701,0.40166167668952213,0.34651919065189146,0.15938602506849028,0.5793562334899447,0.11282211558914418,0.4261377167814188,0.21239561207644267,0.7883528535694065,0.03413155138078598,31.50292352932351
BOS,11.103205528470905,4.764632315857729,67.53303993851918,0.1333241430145331,208.11192336097133,16.7929813396095,1015.810047671654,0.7077209893215554,0.3857985959688748,0.32882631364290155,0.7679372572689385,0.5320218798812042,0.9868901083158744,0.9147840510290479,0.7344298889532159,0.060139208473606126,63.17351475432508
BZN,6.8740777510764195,0.7706790315867474,68.52832836654048,0.0470803175787921,149.561258957632,8.751591967650782,1017.1073549235194,0.7077209893215554,0.19758013339175437,0.1471781332218169,0.7875939783115521,0.15189646584056196,0.3387999697331704,0.0038761545854526644,0.8719839749556325,0.060139208473606126,26.88269709392934
CLT,17.06988457117703,9.691705998875058,65.93196546917414,0.1293034865862453,155.51719683891739,9.958159497199873,1017.7597098519369,0.039690885524932135,0.6513472422197957,0.552913553933213,0.7363163991073157,0.5143005684505462,0.40472551722622463,0.14055301966691508,0.9411534687656844,0.0033727676232609203,68.97626164118138
DEN,9.835394420445391,-0.7109033848485635,54.432324958121164,0.044514755697823365,183.9980212559672,15.6459629040697,1013.659235102014,0.7294696384084847,0.32937432360088026,0.07979458340684407,0.5092011034281526,0.1405885806983756,0.7199762770851126,0.784852754088867,0.5063782406224607,0.06198731890298874,35.17751868274252
DSM,9.794196392785572,4.650348697394789,71.82789579158316,0.15852010745798817,179.20357869319147,13.996020103295647,1016.4597234468938,1.7054108216432866,0.32754079436376693,0.32362860353760675,0.85275968767713,0.6430747740197857,0.6669071791235374,0.5979514791492032,0.8033153109166853,0.14491877234596207,65.61579982974548
FSD,6.146172448888295,1.8739328021199428,75.79150463120678,0.12778629061607205,159.56165382480873,13.690576202397175,1016.2940413407786,2.9540105015390186,0.16518451328022624,0.1973549945159358,0.9310400645899936,0.5076134259979818,0.4494931166239287,0.5633515800050107,0.7857479608221973,0.25101961940620093,52.175868214007416
HOU,21.581225420780093,16.0483220322332,73.61082163607227,0.1490382882770259,135.05360060444883,11.304502096696082,1016.9644293200419,0.7077209893215554,0.8521256730376934,0.8420175203321993,0.8879720693125354,0.601283023435771,0.17821647493530854,0.29306324501131586,0.8568295073270633,0.060139208473606126,86.95749326305113
IAD,14.451415120619533,7.358011588389326,66.12763942280907,0.13879154937396232,174.77838893700502,11.159471279737033,1016.8767227621539,0.417432726057162,0.5348115591592274,0.4467752710962454,0.7401809153757845,0.556119838147851,0.6179252952872529,0.27663452725063326,0.8475299405595559,0.03547171005924661,66.49392517429028
IAH,20.620236397476493,15.610202799062144,75.99192671194798,0.15894687858223602,139.2635712604114,10.744533610500108,1016.6962167034784,0.0015590631118416283,0.8093565995926894,0.8220915082212364,0.9349983552934656,0.6449557962203394,0.22481612489071168,0.2296314557717365,0.828390799940934,0.00013248274803384733,85.70588993249969
JAC,2.434600247396345,-2.465370937047657,73.60941055081125,0.10743951218820613,118.95291893399043,10.191425463815046,1018.3147063186799,0.7077209893215554,0.0,0.0,0.8879442006982097,0.4179336427183257,0.0,0.16697678813934666,1.0,0.060139208473606126,32.68705696319438
JFK,12.422467006229526,6.017611194213545,67.76375134909965,0.23950021493314583,195.256805958624,17.545257863999936,1016.7749524986889,0.6433264537140477,0.44451268079937095,0.38581279224186943,0.772493755376873,1.0,0.8445983870573015,1.0,0.8367391926060329,0.054667226633455544,91.12119922315118
LAS,20.32907918854542,-1.1126065897479036,28.64969495187412,0.012617659202420601,172.01735030021223,12.343357565990454,1012.3211567920803,0.00020053546490653547,0.796398570155467,0.061524801302318965,0.0,0.0,0.5873636965251187,0.41074211945355177,0.3645011805367046,1.7040676074800065e-05,41.277763124424325
LAX,16.76291213399147,10.99042926630565,72.15759332918005,0.03559738753601293,153.21345619764173,8.717373724061916,1015.1555139239815,0.6981312969972793,0.6376853518202074,0.6119805238270167,0.8592711393754711,0.10128468563650059,0.37922569401025114,0.0,0.6650293739330676,0.059324316002435755,46.819433450001505
