FlightDate,CRSDepTime,WeatherDelay,Cancelled,CancellationCode,Reporting_Airline,CancelledWeather,Origin_Airport,date,datetime
2010-01-01,600.0,0.0,False,,OO,False,ABQ,2010-01-01,2010-01-01 06:00:00
2010-01-01,605.0,0.0,False,,OO,False,ABQ,2010-01-01,2010-01-01 06:05:00
2010-01-01,615.0,0.0,False,,YV,False,ABQ,2010-01-01,2010-01-01 06:15:00
2010-01-01,630.0,0.0,False,,CO,False,ABQ,2010-01-01,2010-01-01 06:30:00
2010-01-01,645.0,0.0,False,,UA,False,ABQ,2010-01-01,2010-01-01 06:45:00
2010-01-01,710.0,0.0,False,,AA,False,ABQ,2010-01-01,2010-01-01 07:10:00
2010-01-01,745.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 07:45:00
2010-01-01,750.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 07:50:00
2010-01-01,800.0,0.0,False,,MQ,False,ABQ,2010-01-01,2010-01-01 08:00:00
2010-01-01,805.0,0.0,False,,DL,False,ABQ,2010-01-01,2010-01-01 08:05:00
2010-01-01,805.0,0.0,False,,UA,False,ABQ,2010-01-01,2010-01-01 08:05:00
2010-01-01,805.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 08:05:00
2010-01-01,810.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 08:10:00
2010-01-01,815.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 08:15:00
2010-01-01,820.0,0.0,False,,DL,False,ABQ,2010-01-01,2010-01-01 08:20:00
2010-01-01,840.0,0.0,False,,OO,False,ABQ,2010-01-01,2010-01-01 08:40:00
2010-01-01,840.0,0.0,False,,US,False,ABQ,2010-01-01,2010-01-01 08:40:00
2010-01-01,840.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 08:40:00
2010-01-01,850.0,0.0,False,,XE,False,ABQ,2010-01-01,2010-01-01 08:50:00
2010-01-01,900.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 09:00:00
2010-01-01,905.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 09:05:00
2010-01-01,905.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 09:05:00
2010-01-01,910.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 09:10:00
2010-01-01,925.0,0.0,False,,AA,False,ABQ,2010-01-01,2010-01-01 09:25:00
2010-01-01,940.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 09:40:00
2010-01-01,1020.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 10:20:00
2010-01-01,1020.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 10:20:00
2010-01-01,1025.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 10:25:00
2010-01-01,1045.0,0.0,False,,XE,False,ABQ,2010-01-01,2010-01-01 10:45:00
2010-01-01,1050.0,0.0,False,,AA,False,ABQ,2010-01-01,2010-01-01 10:50:00
2010-01-01,1050.0,0.0,False,,OO,False,ABQ,2010-01-01,2010-01-01 10:50:00
2010-01-01,1125.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 11:25:00
2010-01-01,1135.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 11:35:00
2010-01-01,1150.0,0.0,False,,WN,False,ABQ,2010-01-01,2010-01-01 11:50:00
2010-01-01,1200.0,0.0,False,,XE,False,ABQ,2010-01-01,2010-01-01 12:00:00
